"Label (Grouping)","Total:","Total:!!Male:","Total:!!Male:!!Less than high school diploma","Total:!!Male:!!High school graduate (includes equivalency)","Total:!!Male:!!Some college or associate's degree","Total:!!Male:!!Bachelor's degree or higher","Total:!!Female:","Total:!!Female:!!Less than high school diploma","Total:!!Female:!!High school graduate (includes equivalency)","Total:!!Female:!!Some college or associate's degree","Total:!!Female:!!Bachelor's degree or higher"
"    Margin of Error","±1,222","±838","±935","±1,193","±1,410","±1,166","±769","±933","±1,117","±1,170","±929"
"Mississippi","","","","","","","","","","",""
"    Estimate","695,072","313,353","73,802","118,408","87,041","34,102","381,719","67,245","110,784","130,740","72,950"
"    Margin of Error","±1,293","±1,062","±1,950","±2,237","±1,890","±1,388","±842","±1,806","±2,464","±2,576","±2,131"
"Missouri","","","","","","","","","","",""
"    Estimate","438,904","199,128","29,990","72,792","64,406","31,940","239,776","29,818","69,985","90,475","49,498"
"    Margin of Error","±1,424","±1,042","±1,094","±2,059","±1,620","±1,373","±873","±1,266","±1,760","±1,898","±1,459"
"Montana","","","","","","","","","","",""
"    Estimate","3,051","2,017","240","551","635","591","1,034","85","113","414","422"
"    Margin of Error","±323","±249","±110","±172","±182","±176","±184","±60","±59","±151","±145"
"Nebraska","","","","","","","","","","",""
"    Estimate","53,373","27,015","3,397","8,766","9,285","5,567","26,358","3,743","7,181","9,637","5,797"
"    Margin of Error","±573","±415","±339","±561","±566","±493","±404","±416","±542","±590","±459"
"Nevada","","","","","","","","","","",""
"    Estimate","174,806","85,799","9,068","29,936","33,160","13,635","89,007","9,207","26,643","35,627","17,530"
"    Margin of Error","±1,211","±808","±740","±1,141","±1,025","±828","±871","±821","±1,184","±1,403","±1,028"
"New Hampshire","","","","","","","","","","",""
"    Estimate","12,526","7,691","930","2,460","2,203","2,098","4,835","775","1,385","1,422","1,253"
"    Margin of Error","±609","±412","±218","±433","±289","±353","±379","±218","±249","±263","±239"
"New Jersey","","","","","","","","","","",""
"    Estimate","793,348","360,161","45,001","135,360","101,865","77,935","433,187","48,817","133,765","135,664","114,941"
"    Margin of Error","±2,665","±1,687","±1,407","±2,579","±2,223","±2,323","±1,529","±1,551","±2,693","±2,188","±2,490"
"New Mexico","","","","","","","","","","",""
